Date	High	Low	Open	Close	Volume	Adj Close	RSI	sell_signal	buy_signal	Current Position	Current Stock Holding	Current Capital
2017-03-30	1232.50	1217.50	1222.45	1220.50	2986086.00	1113.63	47.83	0	0	1	91	0
2017-03-31	1220.43	1207.50	1219.20	1215.90	1867044.00	1109.43	46.36	0	0	1	91	0
2017-04-03	1217.50	1204.10	1217.50	1205.85	1196888.00	1100.26	43.24	0	0	1	91	0
2017-04-05	1209.95	1197.50	1209.95	1200.62	2905568.00	1095.50	41.67	0	0	1	91	0
2017-04-06	1205.00	1196.28	1200.00	1200.03	1720704.00	1094.95	41.49	0	0	1	91	0
2017-04-07	1216.62	1196.07	1197.45	1214.53	2277012.00	1108.18	47.58	0	0	1	91	0
2017-04-10	1224.50	1202.50	1216.00	1211.12	2543264.00	1105.08	46.36	0	0	1	91	0
2017-04-11	1221.55	1203.00	1208.65	1209.65	1557784.00	1103.73	45.81	0	0	1	91	0
2017-04-12	1214.00	1191.50	1211.25	1196.62	1050538.00	1091.85	41.18	0	0	1	91	0
2017-04-13	1204.50	1160.53	1200.00	1164.32	2500472.00	1062.37	32.42	0	0	1	91	0
2017-04-17	1166.45	1147.57	1165.20	1157.43	2270882.00	1056.08	30.91	0	0	1	91	0
2017-04-18	1167.10	1151.03	1165.00	1154.40	1730620.00	1053.32	30.24	0	0	1	91	0
2017-04-19	1174.35	1126.40	1131.75	1149.57	5626812.00	1048.92	29.16	0	1	1	91	0
2017-04-20	1166.00	1145.47	1152.65	1162.75	1268842.00	1060.94	35.89	0	0	1	91	0
2017-04-21	1167.82	1150.50	1164.55	1155.40	1161154.00	1054.23	33.96	0	0	1	91	0
2017-04-24	1169.82	1141.25	1150.00	1164.05	2000020.00	1062.12	38.19	0	0	1	91	0
2017-04-25	1172.22	1151.35	1164.00	1155.75	3148710.00	1054.55	35.81	0	0	1	91	0
2017-04-26	1171.97	1151.53	1170.00	1155.18	2187438.00	1054.03	35.65	0	0	1	91	0
2017-04-27	1163.90	1138.82	1153.03	1151.32	5773186.00	1050.51	34.50	0	0	1	91	0
2017-04-28	1149.38	1134.00	1147.00	1136.57	2540510.00	1037.05	30.46	0	0	1	91	0
2017-05-02	1151.00	1140.00	1147.00	1144.95	2382696.00	1044.69	35.11	0	0	1	91	0
2017-05-03	1172.50	1134.25	1147.50	1168.65	3514406.00	1066.32	46.09	0	0	1	91	0
2017-05-04	1175.00	1154.40	1174.97	1165.05	2708208.00	1063.04	44.85	0	0	1	91	0
2017-05-05	1166.25	1151.25	1154.00	1160.25	1682474.00	1058.66	43.18	0	0	1	91	0
2017-05-08	1173.70	1158.85	1160.50	1171.22	1071782.00	1068.67	47.95	0	0	1	91	0
2017-05-09	1180.50	1166.28	1171.97	1176.28	1790270.00	1073.28	50.03	0	0	1	91	0
2017-05-10	1178.07	1158.00	1177.50	1166.22	1206388.00	1064.11	46.09	0	0	1	91	0
2017-05-11	1180.00	1161.38	1173.65	1174.72	2071302.00	1071.86	49.70	0	0	1	91	0
2017-05-12	1184.95	1160.03	1171.65	1180.32	2314446.00	1076.97	51.98	0	0	1	91	0
2017-05-15	1188.97	1170.80	1187.55	1182.55	1817604.00	1079.00	52.90	0	0	1	91	0
2017-05-16	1217.50	1186.72	1190.00	1214.57	3601026.00	1108.22	63.64	0	0	1	91	0
2017-05-17	1230.38	1211.50	1216.75	1227.68	2876198.00	1120.18	66.96	0	0	1	91	0
2017-05-18	1286.00	1221.12	1225.00	1268.10	5138594.00	1157.06	74.65	1	0	1	91	0
2017-05-19	1270.28	1243.00	1268.10	1253.57	1786044.00	1143.81	68.48	0	0	0	0	114243
2017-05-22	1276.88	1255.00	1255.00	1265.68	1663940.00	1154.85	70.66	1	0	0	0	114243
2017-05-23	1282.07	1257.00	1266.60	1260.85	2748596.00	1150.45	68.62	0	0	0	0	114243
2017-05-24	1285.00	1264.82	1267.40	1279.57	2534548.00	1167.53	71.99	1	0	0	0	114243
2017-05-25	1318.78	1284.00	1288.50	1312.30	4094094.00	1197.39	76.70	0	0	0	0	114243
2017-05-26	1313.43	1282.32	1312.50	1289.12	1362550.00	1176.25	67.98	0	0	0	0	114243
2017-05-29	1298.25	1282.00	1289.50	1286.43	1749290.00	1173.78	67.03	0	0	0	0	114243
2017-05-30	1287.97	1262.50	1280.00	1275.55	927634.00	1163.86	63.18	0	0	0	0	114243
2017-05-31	1286.25	1264.00	1266.50	1273.30	2502730.00	1161.81	62.38	0	0	0	0	114243
2017-06-01	1282.00	1265.00	1265.00	1276.80	1080064.00	1165.00	63.16	0	0	0	0	114243
2017-06-02	1295.93	1276.25	1278.12	1282.45	1355648.00	1170.16	64.44	0	0	0	0	114243
2017-06-05	1309.95	1280.07	1282.50	1301.97	1500188.00	1187.97	68.52	0	0	0	0	114243
2017-06-06	1354.47	1315.00	1315.50	1348.00	5946720.00	1229.97	75.62	1	0	0	0	114243
2017-06-07	1350.00	1288.28	1348.50	1307.62	4927776.00	1193.13	62.34	0	0	0	0	114243
2017-06-08	1302.47	1257.75	1299.00	1260.80	3330714.00	1150.40	51.13	0	0	0	0	114243
2017-06-09	1273.70	1243.00	1260.00	1253.50	3148034.00	1143.74	49.63	0	0	0	0	114243
2017-06-12	1256.45	1235.20	1248.50	1243.60	1626506.00	1134.71	47.59	0	0	0	0	114243
2017-06-13	1240.55	1223.50	1232.50	1225.78	1175414.00	1130.95	44.08	0	0	0	0	114243
2017-06-14	1238.00	1227.50	1227.50	1235.10	1489142.00	1139.55	46.31	0	0	0	0	114243
2017-06-15	1234.85	1202.50	1234.50	1205.60	2997198.00	1112.33	40.77	0	0	0	0	114243
2017-06-16	1217.50	1193.25	1207.47	1199.85	2450426.00	1107.03	39.77	0	0	0	0	114243
2017-06-19	1223.18	1202.57	1208.45	1215.85	1644742.00	1121.79	43.89	0	0	0	0	114243
2017-06-20	1224.50	1190.15	1215.50	1222.50	1670958.00	1127.93	45.56	0	0	0	0	114243
2017-06-21	1221.07	1198.60	1220.00	1203.15	1657818.00	1110.07	41.68	0	0	0	0	114243
